transaction_id,amount,category,reconstruction_error,is_fraud,fraud_probability,risk_level,processing_time_ms,timestamp
0b242abb623afc578575680df30655b9,4.97,misc_net,0.00020497651712503284,False,0.49780797958374023,Medium,212.99,2026-02-06T15:11:07.347795
1f76529f8574734946361c461b024d99,107.23,grocery_pos,0.00017271898104809225,False,0.4194670021533966,Medium,0.99,2026-02-06T15:11:08.112797
a1a22d70485983eac12b5b88dad1cf95,220.11,entertainment,0.00024180227774195373,False,0.587243378162384,Medium,0.99,2026-02-06T15:11:09.114796
6b849c168bdad6f867558c3793159a81,45.0,gas_transport,0.00020602250879164785,False,0.5003482699394226,Medium,1.91,2026-02-06T15:11:10.122798
a41d7549acf90789359a9aa5346dcb46,41.96,misc_pos,0.00022435153368860483,False,0.5448623299598694,Medium,2.0,2026-02-06T15:11:11.130067
189a841a0a8ba03058526bcfe566aab5,94.63,gas_transport,0.00024587358348071575,False,0.5971310138702393,Medium,1.93,2026-02-06T15:11:12.142725
83ec1cc84142af6e2acf10c44949e720,44.54,grocery_net,0.0005400888621807098,True,1.0,High,2.0,2026-02-06T15:11:13.161141
6d294ed2cc447d2c71c7171a3d54967c,71.65,gas_transport,0.0003684774856083095,False,0.8948880434036255,High,1.99,2026-02-06T15:11:14.164140
fc28024ce480f8ef21a32d64c93a29f5,4.27,misc_pos,0.00017143103468697518,False,0.41633909940719604,Medium,2.0,2026-02-06T15:11:15.178888
3b9014ea8fb80bd65de0b1463b00b00e,198.39,grocery_pos,0.0001365775242447853,False,0.33169350028038025,Medium,0.92,2026-02-06T15:11:16.189382
d71c95ab6b7356dd74389d41df429c87,24.74,grocery_pos,0.00029325991636142135,False,0.712213933467865,High,1.0,2026-02-06T15:11:17.194387
3c74776e558f1499a7824b556e474b1d,7.77,shopping_net,0.0002499546390026808,False,0.6070423126220703,Medium,4.99,2026-02-06T15:11:18.200823
c1d9a7ddb1e34639fe82758de97f4abf,71.22,grocery_pos,0.0002131379151251167,False,0.5176288485527039,Medium,8.97,2026-02-06T15:11:19.204094
413636e759663f264aae1819a4d4f231,96.29,grocery_pos,0.0003510685346554965,False,0.8526085019111633,High,4.98,2026-02-06T15:11:20.209523
8a6293af5ed278dea14448ded2685fea,7.77,shopping_pos,0.000263009627815336,False,0.6387477517127991,Medium,6.0,2026-02-06T15:11:21.216466
baae0b096835c975857eea7e28dde3dc,3.26,shopping_net,0.00023052713368088007,False,0.5598604679107666,Medium,4.99,2026-02-06T15:11:22.218970
991c04803b4d4eeab30d6245a872e3d3,327.0,misc_net,0.0005111134378239512,True,1.0,High,7.0,2026-02-06T15:11:23.228079
f12cf52be2175703db789a4644c32f25,341.67,shopping_pos,0.0005959608824923635,True,1.0,High,4.0,2026-02-06T15:11:24.230076
8500f3d459047eac8443307b1e8296e5,63.07,food_dining,0.00034671626053750515,False,0.8420385122299194,High,7.02,2026-02-06T15:11:25.236513
09eff9c806365e2a6be12c1bbab3d70e,44.71,grocery_pos,0.00024479610146954656,False,0.5945141911506653,Medium,6.0,2026-02-06T15:11:26.251662
139a1bee15be607d79fe173bfcb2502a,57.34,grocery_pos,0.00020780792692676187,False,0.5046843886375427,Medium,5.92,2026-02-06T15:11:27.255112
